Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
METADIÁRIO (Exposição),07/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][37]_[WhatsApp Image 2025-01-31 at 12.04.55][1]_[1].jpeg,74,"[""Artes Visuais""]",Termo de Fomento 2019,Não se aplica,Visita,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Pincelando Histórias,08/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][1]_[1][1]_[1].png,2,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Programação,14/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][11]_[Programação][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Pincelando Histórias,15/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][1]_[1][1]_[1].png,4,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Bordado(Oficina de Férias),16/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,5,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Arte de Brincar (Oficina de Férias),17/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,6,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Upcycling(Oficina de Férias),21/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,7,"[""Economia Criativa""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Ambiental,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Elaboração Corporal,22/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][19]_[Elaboração Corporal][1]_[1].png,3,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Pincelando Histórias,22/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][1]_[1][1]_[1].png,2,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Tear,22/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][4]_[Tear][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Bordado(Oficina de Férias),23/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,7,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Alumia (Mural Animado),24/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][37]_[WhatsApp Image 2025-01-31 at 11.57.22][1]_[1].jpeg,80,"[""Artes Digitais""]",Termo de Fomento 2019,Lei Paulo Gustavo,Vivência,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Arte de Brincar (Oficina de férias),24/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,9,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Danilo e João Ricardo (Pj Circulação),24/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[dab5abdc188b49249fd5253f66460b0f][1]_[7].jpeg,400,"[""Música""]",Termo de Fomento 2019,Circulação,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Semeando Violas,24/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][37]_[WhatsApp Image 2025-01-31 at 11.38.57][1]_[1].jpeg,180,"[""Música""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Programação,28/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][11]_[Programação][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Elaboração Corporal,29/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][19]_[Elaboração Corporal][1]_[1].png,7,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Pincelando Histórias,29/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][1]_[1][1]_[1].png,2,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Tear,29/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][4]_[Tear][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Bordado (Oficina de Férias),30/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,6,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Costuras Poéticas (Oficina de Férias),30/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,2,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Arte de Brincar (Oficina de Férias),31/01/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,6,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",janeiro
Programação,04/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b6f6f6ba788e44ac850a945281d5bf86][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Upcycling/reutilização(Oficina de Férias),04/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[74c8048f293b43d1a01314e45f8946e8][1]_[1].jpeg,4,"[""Educação Ambiental"",""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Elaboração Corporal,05/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7b7b1f8569dc4123ae46a47d8d885af0][1]_[1].png,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Bordado ( Oficina de férias),06/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,3,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Costuras Poéticas(Oficina  de férias),06/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][10]_[Of. Férias][1]_[1].jpeg,7,"[""Memórias""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Arte de Brincar (Oficina de Férias),07/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1f46aeac27e04efc8e59f2aa790cb78d][1]_[1].jpeg,4,"[""Cultura infantil""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Upcycling/Reutilização( Oficina de Férias),11/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[782cbfba8b7542edb58c6c6f0cda90e6][1]_[1].jpeg,6,"[""Educação Ambiental"",""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Tear,12/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5c0aa269789a49debd60866cbdf52f3b][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Bordado(Oficina de Férias),13/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[92467f1b009e4ba788c0e7d71f151b91][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Costuras Poéticas( Oficina de Férias),13/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5dfc9fccb1214d90991b868e6a510e2f][1]_[1].jpeg,4,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Arte de Brincar( Oficina de Férias),14/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1ef0c3d4f5fe401ebd0151737e606256][1]_[1].jpeg,7,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Chove Chuva,17/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ee79ae9287cd4984a8c2a70eed681728][1]_[1].jpeg,226,"[""Fotografia""]",Termo de Fomento 2019,Não se aplica,Workshop,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Programação,18/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[807dedd3d29d4bbfa3031c7c991248b9][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Elaboração Corporal,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[f0116fbdb2af46b3856d1d8043d2f914][1]_[1].png,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Pincelando Histórias,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[743b691e998346d398080c4494c906a9][1]_[1].png,2,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Tear,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0f676fc80b674e56a681d4191863a508][1]_[1].jpeg,7,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Clube de Leitura,20/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b357befa290546cb9c230f954ac32c7c][1]_[1].jpeg,5,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Encontro,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Costuras Poéticas( Oficina de Férias),20/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[71ab7cf07051460abe205b2d606dd850][1]_[1].jpeg,4,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
